REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Sales,Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,DECIMALS
2019-05-01,"Winnipeg, Manitoba",2016S0503602,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859940,14.30.1.1,4113.0,0
2019-05-01,Saskatchewan,2021A000247,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859971,15.30.1.1,7029.0,0
2019-05-01,Alberta,2021A000248,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860002,16.30.1.1,17470.0,0
2019-05-01,"Calgary, Alberta",2016S0503825,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860032,17.30.1.1,5525.0,0
2019-05-01,"Edmonton, Alberta",2016S0503835,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860062,18.30.1.1,6632.0,0
2019-05-01,British Columbia,2021A000259,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860093,19.30.1.1,3563.0,0
2019-05-01,Yukon,2021A000260,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860155,21.30.1.1,384.0,0
2019-05-01,Northwest Territories,2021A000261,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860186,22.30.1.1,231.0,0
2019-06-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859541,1.30.1.1,91676.0,0
2019-06-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Seasonally adjusted,Dollars,81,thousands,3,v1446870213,1.30.1.2,91676.0,0
2019-06-01,Newfoundland and Labrador,2021A000210,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859572,2.30.1.1,2581.0,0
2019-06-01,Prince Edward Island,2021A000211,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859603,3.30.1.1,1279.0,0
2019-06-01,Nova Scotia,2021A000212,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859634,4.30.1.1,5430.0,0
2019-06-01,New Brunswick,2021A000213,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859665,5.30.1.1,3003.0,0
2019-06-01,Quebec,2021A000224,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859696,6.30.1.1,18765.0,0
2019-06-01,"Montréal, Quebec",2016S0503462,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859727,7.30.1.1,9949.0,0
2019-06-01,"Quebec, Quebec",2016S0503421,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859757,8.30.1.1,3597.0,0
2019-06-01,"Gatineau, Quebec",2016S050524505,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859787,9.30.1.1,945.0,0
2019-06-01,Ontario,2021A000235,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859818,10.30.1.1,25839.0,0
2019-06-01,"Toronto, Ontario",2016S0503535,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859849,11.30.1.1,13057.0,0
2019-06-01,"Ottawa, Ontario",2016S050535505,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859879,12.30.1.1,3509.0,0
2019-06-01,Manitoba,2021A000246,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859910,13.30.1.1,5298.0,0
2019-06-01,"Winnipeg, Manitoba",2016S0503602,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859940,14.30.1.1,4144.0,0
2019-06-01,Saskatchewan,2021A000247,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859971,15.30.1.1,6179.0,0
2019-06-01,Alberta,2021A000248,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860002,16.30.1.1,18423.0,0
2019-06-01,"Calgary, Alberta",2016S0503825,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860032,17.30.1.1,5769.0,0
2019-06-01,"Edmonton, Alberta",2016S0503835,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860062,18.30.1.1,6477.0,0
2019-06-01,British Columbia,2021A000259,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860093,19.30.1.1,4230.0,0
